iter	Passed	Remaining
625	8804	5260
626	8810	5241
627	8818	5223
628	8824	5205
629	8833	5187
630	8841	5170
631	8849	5153
632	8857	5135
633	8866	5118
634	8872	5100
635	8881	5083
636	8888	5065
637	8896	5047
638	8902	5029
639	8909	5011
640	8916	4993
641	8922	4975
642	8931	4958
643	8939	4941
644	8949	4925
645	8955	4907
646	8964	4890
647	8971	4873
648	8980	4857
649	8988	4839
650	8996	4822
651	9003	4805
652	9011	4788
653	9018	4771
654	9027	4754
655	9034	4737
656	9042	4720
657	9050	4704
658	9059	4687
659	9066	4670
660	9074	4653
661	9081	4636
662	9089	4619
663	9096	4602
664	9104	4586
665	9112	4570
666	9120	4553
667	9127	4536
668	9134	4519
669	9142	4503
670	9149	4485
671	9157	4469
672	9164	4452
673	9173	4436
674	9179	4419
675	9187	4403
676	9194	4386
677	9203	4370
678	9209	4354
679	9218	4338
680	9225	4321
681	9232	4304
682	9240	4288
683	9249	4272
684	9258	4257
685	9266	4241
686	9273	4224
687	9280	4208
688	9287	4192
689	9296	4176
690	9304	4160
691	9311	4144
692	9319	4128
693	9326	4112
694	9334	4096
695	9340	4079
696	9350	4064
697	9356	4048
698	9366	4033
699	9373	4017
700	9381	4001
701	9388	3985
702	9397	3970
703	9405	3954
704	9414	3939
705	9422	3923
706	9432	3909
707	9441	3894
708	9451	3879
709	9462	3864
710	9470	3849
711	9480	3834
712	9493	3821
713	9501	3805
714	9515	3792
715	9526	3778
716	9534	3763
717	9544	3748
718	9557	3735
719	9566	3720
720	9576	3705
721	9584	3690
722	9593	3675
723	9601	3660
724	9610	3645
725	9617	3629
726	9626	3614
727	9633	3599
728	9641	3584
729	9648	3568
730	9658	3554
731	9670	3540
732	9680	3526
733	9692	3512
734	9701	3497
735	9712	3483
736	9724	3470
737	9732	3454
738	9738	3439
739	9744	3423
740	9752	3408
741	9758	3393
742	9764	3377
743	9773	3362
744	9783	3348
745	9791	3333
746	9799	3318
747	9807	3304
748	9816	3289
749	9824	3274
750	9834	3260
751	9843	3246
752	9852	3231
753	9859	3216
754	9871	3203
755	9879	3188
756	9888	3174
757	9898	3160
758	9906	3145
759	9916	3131
760	9924	3116
761	9933	3102
762	9940	3087
763	9950	3073
764	9958	3059
765	9967	3045
766	9977	3030
767	9985	3016
768	9995	3002
769	10015	2991
770	10027	2978
771	10035	2963
772	10045	2950
773	10054	2935
774	10065	2922
775	10074	2908
776	10084	2894
777	10099	2881
778	10111	2868
779	10124	2855
780	10138	2842
781	10147	2828
782	10159	2815
783	10172	2802
784	10183	2789
785	10208	2779
786	10216	2765
787	10233	2753
788	10249	2741
789	10261	2727
790	10272	2714
791	10284	2700
792	10294	2687
793	10305	2673
794	10314	2659
795	10326	2646
796	10343	2634
797	10357	2621
798	10373	2609
799	10391	2597
800	10403	2584
801	10419	2572
802	10429	2558
803	10442	2545
804	10458	2533
805	10473	2521
806	10489	2508
807	10502	2495
808	10516	2482
809	10526	2469
810	10536	2455
811	10545	2441
812	10554	2427
813	10567	2414
814	10576	2400
815	10586	2387
816	10595	2373
817	10604	2359
818	10614	2345
819	10623	2331
820	10632	2318
821	10640	2304
822	10651	2290
823	10661	2277
824	10670	2263
825	10680	2249
826	10688	2235
827	10699	2222
828	10711	2209
829	10719	2195
830	10731	2182
831	10740	2168
832	10749	2155
833	10758	2141
834	10767	2127
835	10778	2114
836	10785	2100
837	10796	2087
838	10803	2073
839	10812	2059
840	10824	2046
841	10832	2032
842	10842	2019
843	10850	2005
844	10862	1992
845	10873	1979
846	10881	1965
847	10890	1952
848	10898	1938
849	10908	1925
850	10916	1911
851	10925	1897
852	10932	1884
853	10941	1870
854	10948	1856
855	10957	1843
856	10964	1829
857	10973	1816
858	10982	1802
859	10990	1789
860	10998	1775
861	11006	1762
862	11016	1748
863	11024	1735
864	11032	1721
865	11040	1708
866	11050	1695
867	11058	1681
868	11066	1668
869	11073	1654
870	11081	1641
871	11089	1627
872	11097	1614
873	11105	1600
874	11113	1587
875	11120	1574
876	11128	1560
877	11135	1547
878	11143	1533
879	11153	1520
880	11161	1507
881	11169	1494
882	11177	1481
883	11186	1467
884	11194	1454
885	11202	1441
886	11211	1428
887	11218	1414
888	11227	1401
889	11236	1388
890	11244	1375
891	11255	1362
892	11263	1349
893	11269	1336
894	11278	1323
895	11287	1310
896	11295	1297
897	11303	1283
898	11312	1270
899	11319	1257
900	11327	1244
901	11334	1231
902	11343	1218
903	11350	1205
904	11358	1192
905	11365	1179
906	11373	1166
907	11381	1153
908	11390	1140
909	11398	1127
910	11407	1114
911	11415	1101
912	11426	1088
913	11440	1076
914	11449	1063
915	11457	1050
916	11466	1037
917	11476	1025
918	11486	1012
919	11497	999
920	11508	987
921	11518	974
922	11526	961
923	11537	949
924	11546	936
925	11556	923
926	11567	910
927	11576	898
928	11587	885
929	11596	872
930	11606	860
931	11616	847
932	11625	834
933	11635	822
934	11647	809
935	11655	796
936	11668	784
937	11679	772
938	11698	759
939	11711	747
940	11724	735
941	11737	722
942	11751	710
943	11767	698
944	11790	686
945	11802	673
946	11813	661
947	11824	648
948	11834	635
949	11849	623
950	11861	611
951	11871	598
952	11880	585
953	11892	573
954	11901	560
955	11912	548
956	11921	535
957	11929	523
958	11938	510
959	11945	497
960	11953	485
961	11960	472
962	11969	459
963	11978	447
964	11986	434
965	11993	422
966	12002	409
967	12010	397
968	12018	384
969	12025	371
970	12034	359
971	12042	346
972	12050	334
973	12057	321
974	12065	309
975	12072	296
976	12082	284
977	12089	271
978	12097	259
979	12104	247
980	12115	234
981	12123	222
982	12134	209
983	12142	197
984	12150	185
985	12157	172
986	12166	160
987	12173	147
988	12181	135
989	12188	123
990	12197	110
991	12203	98
992	12213	86
993	12220	73
994	12229	61
995	12236	49
996	12243	36
997	12253	24
998	12263	12
999	12271	0
